Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
1993,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,144136.4,2587.14,11227.85,157951.39
2004,General Administration & Finance,Management,Manager III,157950.72,0,0,157950.72
2004,"Public Works, Transportation & Commerce",Construction Inspection,Construction Inspector,100465.3,56318.64,1164.3,157948.24
2014,Public Protection,Police Services,Police Officer 3,118840.88,24222.61,14884.13,157947.62
2003,Public Protection,Police Services,Sergeant 3,141106.4,7046.29,9793.94,157946.63
2001,Community Health,Nursing,Registered Nurse,131539.09,1261.53,25143.41,157944.03
2004,Public Protection,Police Services,Police Officer 3,121075.62,23753.58,13111.27,157940.47
2001,Public Protection,Police Services,Police Officer 3,119641.29,26425.19,11871.9,157938.38
2017,Public Protection,Correction & Detention,Deputy Sheriff,104526.96,46054.91,7349.18,157931.05
2008,Community Health,Nursing,Registered Nurse,126649.8,346.13,30930.41,157926.34
2015,Community Health,Public Health,Public Health Nurse,152792.55,0,5132.46,157925.01
2010,Public Protection,Police Services,Police Officer 3,123075.03,25612.34,9230.22,157917.59
2015,Public Protection,Management,Chf District Atty Investigator,148968.44,0,8937.74,157906.18
1999,"Public Works, Transportation & Commerce",Journeyman Trade,"Sr Stationary Eng, Sew Plant",112398.02,38214.81,7287.25,157900.08
2014,Public Protection,Correction & Detention,Sheriff's Sergeant,112255.1,23097.77,22547.07,157899.94
2004,Community Health,Nursing,Nurse Practitioner,157649.36,0,250,157899.36
2000,Community Health,Medical & Dental,Senior Physician Specialist,135948.11,0,21946.97,157895.08
1995,Public Protection,Fire Services,Firefighter,113827.04,25648.65,18416.31,157892
2003,Public Protection,Police Services,Police Officer 3,124497.16,26918.84,6468.96,157884.96
1999,Public Protection,Police Services,Sergeant 3,140566,16475.73,827.13,157868.86
2010,Public Protection,Police Services,Police Officer 3,123075.08,28792.29,6000.54,157867.91
2015,Public Protection,Correction & Detention,Deputy Sheriff,100668.58,41579.89,15615.94,157864.41
1996,Community Health,Nursing,Registered Nurse,138736.1,0,19124.01,157860.11
2008,Public Protection,Police Services,"Sergeant, (Police Department)",135762.3,10382.94,11713.98,157859.22
2007,Public Protection,Police Services,Sergeant 3,142365.56,7442.38,8044.21,157852.15
1994,Public Protection,Fire Services,Firefighter,132636.92,10131.82,15081.8,157850.54
2000,"Public Works, Transportation & Commerce",Management,Manager V,157061.15,0,780,157841.15
1992,Public Protection,Fire Services,"Lieutenant, Fire Suppression",129725.56,11895.62,16215.85,157837.03
2009,Public Protection,Police Services,Police Officer 2,120697.5,23565.68,13571.27,157834.45
1998,Community Health,Nursing,Registered Nurse,130619.57,1765.48,25446.74,157831.79
2011,Community Health,Nursing,Nurse Practitioner,157274.01,0,552.4,157826.41
1997,Public Protection,Police Services,Police Officer 3,118898.31,30816.34,8111.36,157826.01
2001,"Public Works, Transportation & Commerce",Journeyman Trade,Electrical Transit System Mech,90306,50061.23,17455.09,157822.32
2015,Public Protection,Police Services,Sergeant 3,143152.73,7890.86,6777.07,157820.66
2009,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.94,29305.56,12108.77,157820.27
2007,Public Protection,Police Services,Police Officer 3,111442.07,42129.71,4246.8,157818.58
2017,Public Protection,Police Services,Police Officer 3,118898.09,33436.54,5478.43,157813.06
2011,Public Protection,Correction & Detention,Deputy Sheriff,105023.36,38440.46,14349.13,157812.95
2016,Public Protection,Fire Services,Firefighter,111640.48,28120.25,18048.45,157809.18
2014,Public Protection,Legal & Court,Attorney (Civil/Criminal),153243.22,0,4564.86,157808.08
2004,Public Protection,Police Services,Sergeant 2,137639.5,2919.55,17243.53,157802.58
2012,Public Protection,Police Services,Inspector 3,142142.1,8580.09,7079.76,157801.95
1997,Public Protection,Police Services,Sergeant 3,137086.03,12000.87,8710.76,157797.66
1997,Community Health,Nursing,Registered Nurse,137677.5,0,20118.6,157796.1
2007,Public Protection,Correction & Detention,Senior Deputy Sheriff,105973.5,23971.33,27847.34,157792.17
2009,Community Health,Nursing,Nurse Practitioner,155800.1,0,1987.34,157787.44
2009,"Public Works, Transportation & Commerce",Management,Manager V,157785.61,0,0,157785.61
2016,Community Health,Information Systems,IS Business Analyst-Principal,138147.3,0,19637.03,157784.33
2003,"Public Works, Transportation & Commerce",Management,Manager VI,157783.47,0,0,157783.47
2002,Public Protection,Correction & Detention,Senior Deputy Sheriff,102831.49,39644.03,15307.86,157783.38
1994,Public Protection,Police Services,Police Officer,112703.25,38575.77,6502.17,157781.19
1998,"Public Works, Transportation & Commerce",Journeyman Trade,Maintenance Machinist,86677.51,66013.89,5089.5,157780.9
2006,Community Health,Nursing,Registered Nurse,137677.5,0,20102.57,157780.07
2014,Community Health,Nursing,Registered Nurse,149708.18,0,8071.19,157779.37
2001,Community Health,Medical & Dental,Senior Physician Specialist,136906.23,0,20872.63,157778.86
1999,Community Health,Nursing,Clinical Nurse Specialist,157527,0,250,157777
2012,Public Protection,Fire Services,Firefighter,102682.11,44244.26,10846.57,157772.94
2009,Public Protection,Police Services,Police Officer 3,121133.38,35811.74,827.13,157772.25
2002,Community Health,Nursing,Registered Nurse,126002.73,1848.75,29919.49,157770.97
2005,Public Protection,Police Services,Sergeant 3,140700,6570.19,10496.88,157767.07
1997,Community Health,"Lab, Pharmacy & Med Techs",Pharmacist,141875.9,4665.72,11225.02,157766.64
1997,Human Welfare & Neighborhood Development,Medical & Dental,Physician Specialist,157763.38,0,0,157763.38
2011,Public Protection,Correction & Detention,Deputy Sheriff,104621.01,33434.27,19705.8,157761.08
2008,Public Protection,Police Services,Police Officer 3,117812.09,31777.2,8170.07,157759.36
2011,Community Health,Nursing,Nurse Practitioner,156781.81,0,975,157756.81
1995,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130960.99,18552.81,8229.18,157742.98
1998,Community Health,Nursing,Nurse Manager,153096.78,0,4645.84,157742.62
1993,Community Health,Nursing,Registered Nurse,131558.3,0,26181.05,157739.35
1997,Public Protection,Fire Services,"Lieut,Fire Prev",147726,449.97,9555.21,157731.18
2015,Public Protection,Police Services,Sergeant 3,143801.17,6060.32,7867.47,157728.96
1992,Public Protection,Police Services,Inspector 3,135608,18583.63,3535.25,157726.88
1996,Public Protection,Fire Services,Firefighter,112703.74,26464.86,18553.45,157722.05
2001,Public Protection,Police Services,Police Officer 3,118212.22,31245.71,8262.13,157720.06
2007,Community Health,Nursing,Registered Nurse,127207.92,1705.07,28803.13,157716.12
1994,Public Protection,Police Services,Sergeant 3,138247.42,6438.9,13027.63,157713.95
2013,Public Protection,Fire Services,Firefighter,104466.26,33452.88,19791.8,157710.94
2013,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),156210.16,0,1500,157710.16
1993,Public Protection,Fire Services,Firefighter,120964.33,19436.29,17306.55,157707.17
1995,Public Protection,Police Services,Sergeant 3,138359.72,11961.51,7384.98,157706.21
2013,Public Protection,Fire Services,Firefighter,112703.72,25830,19170.2,157703.92
1996,Community Health,Nursing,Special Nurse,125204.82,6649.97,25841.55,157696.34
2012,Community Health,Nursing,Registered Nurse,145186.06,457.47,12050.2,157693.73
2015,Public Protection,Fire Services,Firefighter,125741.84,10302.52,21646.48,157690.84
2013,Community Health,"Lab, Pharmacy & Med Techs",Diagnostic Imaging Tech IV,125559.96,17123.8,15005.21,157688.97
2000,Public Protection,Police Services,Sergeant 3,138579.17,9042.65,10065.03,157686.85
2003,Public Protection,Police Services,Police Officer 3,121364.12,26893.27,9429.38,157686.77
2013,Public Protection,Police Services,Police Officer,112218.11,39557.35,5910.66,157686.12
2016,Public Protection,Fire Services,Firefighter,113827.04,23748.97,20104.1,157680.11
2011,Public Protection,Police Services,Police Officer 2,116048.84,25457.47,16168.87,157675.18
1998,Public Protection,Police Services,Police Officer 3,121248.83,34718.32,1704.82,157671.97
2008,Public Protection,Fire Services,Firefighter,113827.04,25014.65,18828.45,157670.14
2004,Public Protection,Police Services,Sergeant 3,143428.48,2122.74,12117.12,157668.34
2016,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Automotive Trnst Shop Sprv 1,117673.87,20429.53,19563.06,157666.46
2016,"Public Works, Transportation & Commerce",Street Transit,Train Controller,101946.33,36104.03,19607.72,157658.08
2004,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134905.14,4047.15,18700.88,157653.17
2001,Community Health,Nursing,Registered Nurse,121732.76,1550.64,34369.44,157652.84
2008,Public Protection,Police Services,Sergeant 3,140627.64,7023.5,9996.61,157647.75
1993,Public Protection,Police Services,Police Officer 3,126146.63,28113.5,3386.95,157647.08
2003,Public Protection,Correction & Detention,Sheriff's Lieutenant,134472.61,11441.54,11732.76,157646.91
1994,Public Protection,Fire Services,Firefighter,112703.75,26759.97,18182.53,157646.25
2002,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,150764.72,3210.64,3669.59,157644.95
1996,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961,10067.68,16613.17,157641.85
2012,Public Protection,Legal & Court,Attorney (Civil/Criminal),156199.2,0,1437.5,157636.7
2015,Public Protection,Legal & Court,Attorney (Civil/Criminal),156199.2,0,1437.5,157636.7
2004,"Public Works, Transportation & Commerce",Journeyman Trade,Trans And Dist Line Worker,101228.5,19524.35,36880.06,157632.91
2009,Public Protection,Police Services,Police Officer 2,120582,29223.41,7825.37,157630.78
2014,Public Protection,Police Services,Police Officer,112737.54,24058.88,20832.67,157629.09
1996,Public Protection,Information Systems,IS Engineer-Senior,136398,0,21230.96,157628.96
2013,Public Protection,Police Services,Police Officer 3,128622.58,20208.5,8797.13,157628.21
2002,Public Protection,Fire Services,Firefighter,113307.19,27207.49,17110.27,157624.95
2009,Public Protection,Police Services,Sergeant 3,139926.26,9735.95,7961.86,157624.07
2000,Public Protection,Fire Services,Firefighter,111640.5,28282.14,17700.47,157623.11
1992,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,155178.1,947.31,1493.69,157619.1
2001,Public Protection,Correction & Detention,Senior Deputy Sheriff,115960,22080.18,19578.87,157619.05
1992,Public Protection,Police Services,Sergeant 3,142825.43,8478.14,6312.33,157615.9
2001,Community Health,Nursing,Registered Nurse,126203.08,129.8,31277.43,157610.31
2010,Public Protection,Correction & Detention,Deputy Sheriff,99922.91,41058.33,16628.48,157609.72
2013,Public Protection,Police Services,Police Officer 3,119469.75,29227.96,8910.93,157608.64
1994,Public Protection,Fire Services,Firefighter,112703.74,22858.06,22042.94,157604.74
2006,Public Protection,Police Services,Sergeant 2,138732.85,13104.47,5765.69,157603.01
2017,Public Protection,Fire Services,Firefighter,112889.8,24086.69,20626.04,157602.53
1998,Public Protection,Fire Services,"Insp, Fire Dept",137130,9863.58,10604.72,157598.3
2017,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Automotive Trnst Shop Sprv 1,126506.71,18944.23,12144.94,157595.88
2009,Public Protection,SF Superior Court,Sr Court Staff Attorney,155295,0,2299,157594
2005,Community Health,Nursing,Registered Nurse,137204.2,7430.23,12957.34,157591.77
2000,Community Health,Nursing,Special Nurse,135202.33,21402.95,980.83,157586.11
1993,Public Protection,Fire Services,Firefighter,112889.81,26264.21,18431.41,157585.43
2001,Public Protection,Police Services,Sergeant 3,138579.15,8686.06,10318.11,157583.32
2016,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,157582.08,0,0,157582.08
2015,Public Protection,Fire Services,"Lieutenant, Fire Suppression",132267.1,7936,17377.29,157580.39
1995,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,89078.1,56100.38,12401.09,157579.57
1998,Public Protection,Police Services,Sergeant 3,138778.08,14467.81,4331.8,157577.69
2016,Public Protection,Fire Services,EMT/Paramedic/Firefighter,118340.2,19112.77,20123.37,157576.34
2002,Public Protection,Police Services,Sergeant 3,139036.53,1119.45,17418.79,157574.77
2011,Community Health,Nursing,Special Nurse,146859.02,3457.52,7255.31,157571.85
1994,Public Protection,Fire Services,Firefighter,112889.81,32895.2,11782.17,157567.18
2001,Public Protection,Correction & Detention,Deputy Sheriff,104850.82,31797.64,20918.47,157566.93
2006,Public Protection,Fire Services,"Lieutenant, Fire Suppression",134806.51,11975.72,10784.52,157566.75
1996,Public Protection,Police Services,Sergeant 3,143506.29,4422.71,9631.45,157560.45
2009,Public Protection,Fire Services,Firefighter,111930,30476.02,15153.87,157559.89
1992,Public Protection,Fire Services,Firefighter,116099.51,21714.61,19742.35,157556.47
2005,Public Protection,Police Services,Police Officer 2,116584,37687.83,3283.86,157555.69
2010,Community Health,Nursing,Registered Nurse,128585.4,0,28968.47,157553.87
2004,Public Protection,Legal & Court,Attorney (Civil/Criminal),156303.72,0,1250,157553.72
2001,"Public Works, Transportation & Commerce",Management,Manager IV,157552.74,0,0,157552.74
1994,General Administration & Finance,Management,Dept Head I,157552.64,0,0,157552.64
2014,Human Welfare & Neighborhood Development,Management,Dept Head I,157552.39,0,0,157552.39
2013,Public Protection,Police Services,Police Officer,100233.25,44867.56,12451.21,157552.02
1999,"Public Works, Transportation & Commerce",Supervisory-Labor & Trade,Utility Plumber Supervisor 1,112170.24,38117.38,7264,157551.62
2014,Community Health,Nursing,Registered Nurse,122825,0,34725.26,157550.26
2013,Community Health,Nursing,Clinical Nurse Specialist,157300.01,0,250,157550.01
2007,Public Protection,Fire Services,EMT/Paramedic/Firefighter,113193.22,24252.58,20102.62,157548.42
1992,Culture & Recreation,Management,Manager IV,157546.64,0,0,157546.64
2014,Community Health,Nursing,Registered Nurse,137329.65,0,20204.63,157534.28
2012,Community Health,Nursing,Registered Nurse,138320.22,0,19213.22,157533.44
2008,Public Protection,Police Services,Inspector 3,138879.88,9708.62,8943.59,157532.09
2007,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,157531.32,0,0,157531.32
2000,"Public Works, Transportation & Commerce",Management,Manager VI,157528.31,0,0,157528.31
2006,Public Protection,Police Services,Police Officer 3,120041.4,23659.93,13822.72,157524.05
2002,Community Health,Nursing,Nurse Practitioner,157274,0,250,157524
2005,Community Health,Nursing,Registered Nurse,148314.22,0,9207.3,157521.52
2006,Public Protection,Police Services,Police Officer 3,119206.19,22919.53,15394.08,157519.8
1999,Public Protection,Correction & Detention,Deputy Sheriff,104621,40488.14,12409.33,157518.47
